id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan
68252,8573802,16 Glamorgan Street,Blacktown,2148,NSW,-33.785615,150.909207,house,556,2,2,1,true
68490,8591472,38 Greenbank Drive,Blacktown,2148,NSW,-33.759615,150.901147,house,308,4,2,4,true
2426739,8614399,45 Donohue Street,Kings Park,2148,NSW,-33.737570,150.901720,house,578,1,1,1,true
546119,8647492,9/175 Reservoir Road,Blacktown,2148,NSW,-33.798350,150.899339,unit,,1,1,1,true
2751700,8715587,25 Kerry Road,Blacktown,2148,NSW,-33.770498,150.887642,house,607,2,2,2,true
1778398,8716110,63/130 Main Street,Blacktown,2148,NSW,-33.771909,150.911003,unit,,2,2,2,true
1805516,8717333,92 Valda Street,Blacktown,2148,NSW,-33.780914,150.903810,house,676,1,1,2,true
68392,8730520,66 Sackville Street,Blacktown,2148,NSW,-33.764202,150.914110,house,740,4,4,2,false
1801192,8766729,20 Palona Street,Marayong,2148,NSW,-33.742901,150.892363,house,622,1,1,2,false
3340450,8770086,6/22 Lancaster Street,Blacktown,2148,NSW,-33.769676,150.891820,unit,,1,1,1,true
1997408,8783579,7 Leslie Street,Blacktown,2148,NSW,-33.781254,150.890270,house,,1,1,2,true
2147002,8783828,2 Bridge View Street,Blacktown,2148,NSW,-33.788071,150.902936,house,569,1,1,3,true
305429,8822429,10/8-10 Fifth Avenue,Blacktown,2148,NSW,-33.763737,150.911940,unit,,2,1,1,true
4069092,8825379,24 Forrestwood Place,Prospect,2148,NSW,-33.797338,150.910310,house,,1,1,1,true
68411,8871889,20 Love Street,Blacktown,2148,NSW,-33.757007,150.890255,house,562,1,1,2,true
1778419,8884564,11/21-29 Third Avenue,Blacktown,2148,NSW,-33.765007,150.910130,unit,,2,2,1,true
2234385,8900333,5 Hilltop Avenue,Blacktown,2148,NSW,-33.777874,150.893140,house,528,4,2,3,true
1054556,8950121,37A/177A Reservoir Road,Blacktown,2148,NSW,-33.797413,150.899930,unit,,3,3,1,true
4127806,8984853,22 The Crescent,Marayong,2148,NSW,-33.744938,150.897740,house,565,1,1,1,true
1874642,9009152,6 Marana Street,Blacktown,2148,NSW,-33.782783,150.905846,house,556,2,2,1,true
4131285,9019831,58 Nairana Drive,Marayong,2148,NSW,-33.743744,150.893360,house,605,2,2,3,false
2082110,9029532,16  Bermuda Place,Kings Park,2148,NSW,-33.739965,150.905965,house,650,1,1,1,true
4092495,9034679,40 Dina Beth Avenue,Blacktown,2148,NSW,-33.774297,150.886606,house,246,3,3,2,false
2270386,9101487,3/86 Eggleton Street,Blacktown,2148,NSW,-33.752292,150.925739,unit,198,1,1,1,true
3531479,9109465,27 Mcculloch Road,Blacktown,2148,NSW,-33.762710,150.889999,house,,1,1,2,false
3099280,9130828,27 Donohue Street,Kings Park,2148,NSW,-33.737427,150.903870,house,550,1,1,2,true
68352,9135077,1/12 Dudley Avenue,Blacktown,2148,NSW,-33.768591,150.893924,house,,2,2,2,true
2258059,9170485,136 Donohue Street,Kings Park,2148,NSW,-33.736580,150.897930,house,517,2,2,2,true
1667209,9188263,32 Burrell Parade,Blacktown,2148,NSW,-33.778607,150.885265,house,,1,1,1,true
2598767,9252961,55  Balmoral Street,Blacktown,2148,NSW,-33.775442,150.901628,house,810,2,2,1,true
68383,9260755,19/16 Oxford Street,Blacktown,2148,NSW,-33.769436,150.913702,unit,,2,2,1,true
68439,9267873,1/5 Mantaka St,Blacktown,2148,NSW,-33.774587,150.919755,unit,,1,1,1,true
2438767,9427436,7/59-61 Balmoral Street,Blacktown,2148,NSW,-33.775814,150.901219,unit,179,2,2,1,true
4084943,9439349,9 Oaktree Grove,Prospect,2148,NSW,-33.795775,150.910584,house,489,1,1,1,true
2408178,9463479,30 Raymond Street,Blacktown,2148,NSW,-33.751787,150.920704,house,803,4,4,3,true
1109509,9501660,91 Kastelan Street,Blacktown,2148,NSW,-33.778236,150.888410,house,602,3,1,1,true
2598762,9585358,104/130 Reservoir Road,Blacktown,2148,NSW,-33.788320,150.897420,unit,,2,2,1,false
2706507,9594392,3 Theresa Street,Blacktown,2148,NSW,-33.781171,150.902578,house,556,2,2,4,true
68262,9644659,31 Filey Street,Blacktown,2148,NSW,-33.791054,150.906461,house,855,3,3,3,true
4092531,9654994,8 Cedar Place,Blacktown,2148,NSW,-33.784951,150.894682,house,,2,2,1,true
3115906,9655677,10 Bailey Place,Blacktown,2148,NSW,-33.755642,150.889620,house,626,2,2,2,true
4155141,9664052,33/173a Reservoir Road,Blacktown,2148,NSW,-33.795990,150.899340,unit,,1,1,1,true
2651333,9689412,72/31 Third Ave,Blacktown,2148,NSW,-33.764828,150.909350,unit,,2,2,1,true
2956381,9708370,58 Benalla Crescent,Marayong,2148,NSW,-33.745531,150.892907,house,565,2,2,1,false
68327,9751440,61 Walters Road,Blacktown,2148,NSW,-33.776656,150.895420,house,556,1,1,1,true
3724620,9755983,7a Jennifer Avenue,Blacktown,2148,NSW,-33.774464,150.889940,house,427,1,1,1,false
68322,9767037,21 Doonside Crescent,Blacktown,2148,NSW,-33.765738,150.894402,house,525,2,2,0,true
68407,9778471,1/70 Swinson Road,Blacktown,2148,NSW,-33.780067,150.906150,unit,318,2,2,2,true
1141710,9817304,73 Cobham Street,Kings Park,2148,NSW,-33.740527,150.902481,house,916,1,1,1,false
68506,9918723,10 ALLEN ROAD,Blacktown,2148,NSW,-33.755322,150.920566,house,,1,1,1,true
816347,10001351,89/21-29 Third Avenue,Blacktown,2148,NSW,-33.765008,150.910125,unit,,2,2,1,true
1937016,10026292,32 Oulton Street,Prospect,2148,NSW,-33.793921,150.908123,house,558,1,1,2,true
3084944,10026625,42/24 First Avenue,Blacktown,2148,NSW,-33.768005,150.909700,unit,,2,2,2,false
1997409,10055547,5 Sarsfield Street,Blacktown,2148,NSW,-33.767067,150.915530,house,878,3,3,1,true
4091714,10087428,28 Orwell Street,Blacktown,2148,NSW,-33.787315,150.902242,house,,1,1,1,true
1645342,10110677,12 Elanora Avenue,Blacktown,2148,NSW,-33.777380,150.902553,house,,2,2,1,false
1828747,10123169,62/130 Main Street,Blacktown,2148,NSW,-33.771908,150.911000,unit,,2,2,2,true
1617167,10139569,25 BLACKETT STREET,Kings Park,2148,NSW,-33.739263,150.900926,house,400,2,2,2,true
4163611,10156755,63 Eggleton Street,Blacktown,2148,NSW,-33.750730,150.924270,house,,2,2,1,true
