Street Types
Ave 
Ave 
Avenue 
AVENUE 
Avenue 
Boulevard 
Circuit 
Close 
Crescent 
Drive
drive 
Glade 
Grove 
Lane 
Parade 
Place 
Rd 
road 
ROAD 
Road 
St 
street 
STREET 
Street 
Way 
