,id,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob
0,3311627,4,2,2,629, ,Auction            ,Auction            ,Nov 2018            ,Nov 2011            ,"$1,230,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/AlJwGyAC9Qio27VNi4Ne_RMM7yaueXi5VjEDOkZa7Zw1/16-fromelles-avenue-seaforth-nsw-2092_img0.jpg,"This is a house in Seaforth with 4 bedrooms and 2 bathrooms. Its postcode is 2092. The land area of this property is 629 sqm. It last sold in 2018 for $1,800,000. "
1,180288,2,1,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/rtjaioVIR03QjBb6H6CHH9SxBUM_ObyPIv0lv5AMkEI1/5-22-lake-street-laurieton-nsw-2443_img0.jpg,"5/22 Lake Street, Laurieton 2443 NSW is a unit with 2 bedrooms and 1 bathroom. The last time this property sold was in 2017 for $285,000. "
2,3781700,4,2,6,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/-N-WdncMOV-QKoKhD3AVmbttkoERUxkeil9Jjg0rMeM1/272-sneaths-road-wollongbar-nsw-2477_img0.jpg,The block size is 50103 sqm. 
3,2801289,3,2,2,847, ,Private Sale            ,Private Sale            ,Nov 2018            ,Mar 2014            ,"$575,000            ","$462,500            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/OzANnpZZN-Pi3AGGYEU_v3oCunSWJeP5ZPhF7sJ3QH41/43-skyline-drive-tweed-heads-west-nsw-2485_img0.jpg,"43 Skyline Drive, Tweed Heads West 2485 NSW is a house. It has 3 bedrooms and 2 bathrooms. The block size of this property is 847 sqm. The last sold price we have on record for this property is $575,000 which is from November 2018. "
4,1314561,5,5,4,4421, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/PL2NYcA2kfiY1QC1le3cCzs8u5uxM6n_IDlGgjztMlY1/23-ilya-avenue-bayview-nsw-2104_img0.jpg,"This is a house in Bayview, 2104 with 5 bedrooms and 5 bathrooms. The size of this block is 4421 square metres. It last sold for $1,510,000 in May 1999. "
5,1329371,0,0,0,0,"$820,000", , , , , , ,https://p360images.realestateview.com.au/default/37-clackmannan-road-winston-hills-nsw-2153-xl,Its block size is 584 sqm. 
6,2655109,4,2,2,796, ,Private Sale            ,Private Sale            ,Oct 2018            ,Dec 2007            ,"$840,000            ","$465,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/quiGWHgowvm60u76MkHgyUmjzpxym2AFoLCalqZ0f501/52-donald-avenue-umina-beach-nsw-2257_img0.jpg,"52 Donald Avenue is a house in Umina Beach with 4 bedrooms and 2 bathrooms. Its postcode is 2257. Its block size is 796 square metres. According to our data, this was last sold for $465,000 in December 2007. "
7,734103,0,0,0,0, , , , , , , ,https://p360images.realestateview.com.au/default/5-wentworth-place-wentworth-point-nsw-2127-xl,"5 Wentworth Place, Wentworth Point 2127 NSW is a unit with 1 bedroom and 1 bathroom. "
8,4083172,3,1,2,685,"$363,833",Private Sale            , ,Jun 2018            , ,"$407,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/lUNNRgionuUPAM2fsf_lyDuKDVTQ9MOe3sGwpNuD6UI1/37-benjamin-circle-rutherford-nsw-2320_img0.jpg,"37 Benjamin Circle, Rutherford 2320 NSW is a house. It has 3 bedrooms and 1 bathroom. The size of this block is 685 sqm. Last time it sold, it went for $407,000, which was in 2018. "
9,576143,3,1,1,0, ,Private Sale            , ,Jul 2012            , ,"$375,000            ", ,https://p360images.realestateview.com.au/default/6-10-11-devonport-street-wakeley-nsw-2176-xl,"6/10-11 Devonport Street is a unit in Wakeley with 3 bedrooms and 1 bathroom. Its postcode is 2176. In July 2012 it sold for $375,000. "
