,ID,Street_Name
110,4167473,162-20-victoria-road-Parramatta-NSW-2150
111,223919,908-45-macquarie-street-Parramatta-NSW-2150
112,214304,14-moomin-street-Lalor-Park-NSW-2147
113,4075574,10-hayes-avenue-Northmead-NSW-2152
114,37138,71-whitby-road-Kings-Langley-NSW-2147
115,2027859,1602-36-46-cowper-street-Parramatta-NSW-2150
116,3117111,6-duncan-place-North-Rocks-NSW-2151
117,68433,7-13-19-devitt-street-Blacktown-NSW-2148
118,3348670,11-35-harris-street-Harris-Park-NSW-2150
119,3733865,11-hayes-road-Seven-Hills-NSW-2147
120,4155204,60-reading-avenue-Kings-Langley-NSW-2147
121,216205,16-myuna-crescent-Seven-Hills-NSW-2147
122,390731,28-derbyshire-avenue-Toongabbie-NSW-2146
123,2016448,4-king-place-Kings-Langley-NSW-2147
124,1908515,51-130-main-street-Blacktown-NSW-2148
125,4061318,3-36-lloyd-street-Blacktown-NSW-2148
126,562786,39-orana-avenue-Seven-Hills-NSW-2147
127,2568248,8-hemsworth-avenue-Northmead-NSW-2152
128,128530,1-383-wentworth-avenue-Toongabbie-NSW-2146
129,216207,2-janice-Seven-Hills-NSW-2147
130,222477,1-belrose-place-Prospect-NSW-2148
131,2767793,5-24-factory-street-North-Parramatta-NSW-2151
132,1306989,19-bourke-street-North-Parramatta-NSW-2151
133,2087943,1711-45-macquarie-street-Parramatta-NSW-2150
134,37155,19-ellis-place-Kings-Langley-NSW-2147
135,4102140,59-14-16-campbell-street-Northmead-NSW-2152
136,4119991,96-columbia-road-Seven-Hills-NSW-2147
137,675067,8-59-61-marsden-street-Parramatta-NSW-2150
138,1002825,6-80-82-metella-road-Toongabbie-NSW-2146
139,4061319,fairwater-boulevard-Blacktown-NSW-2148
140,1828727,3-alam-street-Blacktown-NSW-2148
141,1613219,21-willmot-avenue-Toongabbie-NSW-2146
142,3509989,14-simpson-place-Kings-Langley-NSW-2147
143,68376,305-1-griffiths-street-Blacktown-NSW-2148
144,68349,4-prospect-street-Blacktown-NSW-2148
145,3028517,7-pemberton-street-Parramatta-NSW-2150
146,3536947,31-glenn-avenue-Northmead-NSW-2152
147,4162826,9-lyte-place-Prospect-NSW-2148
148,37145,15-joseph-banks-drive-Kings-Langley-NSW-2147
149,4149617,55-ross-street-North-Parramatta-NSW-2151
150,1032916,24-2-bruce-street-Blacktown-NSW-2148
151,3447687,69-lamonerie-street-Toongabbie-NSW-2146
152,2872414,22-merlin-street-Blacktown-NSW-2148
153,4088407,10-fursorb-street-Marayong-NSW-2148
154,4105549,5-hudson-street-Seven-Hills-NSW-2147
155,51086,2-89-hammers-road-Northmead-NSW-2152
156,1850470,63-nairana-drive-Marayong-NSW-2148
157,4089946,10-12-bellevue-street-North-Parramatta-NSW-2151
158,4159020,7-marcus-street-Kings-Park-NSW-2148
159,2920698,16-old-church-lane-Prospect-NSW-2148
160,3847699,6-8e-myrtle-street-Prospect-NSW-2148
161,128449,120-fitzwilliam-road-Toongabbie-NSW-2146
162,3487965,808-330-church-street-Parramatta-NSW-2150
163,4149916,128-madagascar-drive-Kings-Park-NSW-2148
164,4106284,1-boys-avenue-Blacktown-NSW-2148
165,128455,8-vianney-crescent-Toongabbie-NSW-2146
166,4123392,74-5-griffiths-street-Blacktown-NSW-2148
167,3465530,40-newton-road-Blacktown-NSW-2148
168,2126419,8-andre-place-Blacktown-NSW-2148
169,2651318,75a-newton-road-Blacktown-NSW-2148
170,123959,131-north-rocks-road-North-Rocks-NSW-2151
171,1590380,7-35-napier-street-Parramatta-NSW-2150
172,3700575,140-lucas-road-Seven-Hills-NSW-2147
173,1363681,5-cacia-avenue-Seven-Hills-NSW-2147
174,4171434,15-60-patricia-street-Blacktown-NSW-2148
175,37137,9-capricorn-road-Kings-Langley-NSW-2147
176,4174963,10-91-great-western-highway-Parramatta-NSW-2150
177,123957,11a-plymouth-avenue-North-Rocks-NSW-2151
178,1995971,5-calaby-street-Toongabbie-NSW-2146
179,2460583,10-gallop-grove-Lalor-Park-NSW-2147
180,408155,7-30-32-briens-road-Northmead-NSW-2152
181,3085015,3-walters-road-Blacktown-NSW-2148
182,1828729,10-sutton-street-Blacktown-NSW-2148
183,123971,34-iona-avenue-North-Rocks-NSW-2151
184,3975700,1405a-8-cowper-street-Parramatta-NSW-2150
185,972325,101-111-wigram-street-Harris-Park-NSW-2150
186,37146,31-stainsby-avenue-Kings-Langley-NSW-2147
187,1516969,1304-45-macquarie-street-Parramatta-NSW-2150
188,128467,2-greenmeadows-crescent-Toongabbie-NSW-2146
189,1475364,16-bernice-street-Seven-Hills-NSW-2147
190,2785750,8-227-windsor-road-Northmead-NSW-2152
191,2680703,1406-45-macquarie-street-Parramatta-NSW-2150
192,68295,64-21-29-third-avenue-Blacktown-NSW-2148
193,324089,112-north-rocks-road-North-Rocks-NSW-2151
194,4151532,23-mimosa-avenue-Toongabbie-NSW-2146
195,4131379,2-mountfort-street-Lalor-Park-NSW-2147
196,223776,140-3-sorrell-street-Parramatta-NSW-2150
197,3472369,18-francine-street-Seven-Hills-NSW-2147
198,4161211,11-105-hammers-road-Northmead-NSW-2152
199,4108691,12-sparkle-avenue-Blacktown-NSW-2148
200,4151531,13-memphis-crescent-Toongabbie-NSW-2146
201,3067458,2704-330-church-street-Parramatta-NSW-2150
202,845505,45-budgeree-road-Toongabbie-NSW-2146
203,1948609,173-lucas-road-Lalor-Park-NSW-2147
204,537521,304-330-church-street-Parramatta-NSW-2150
205,3975702,5006-330-church-street-Parramatta-NSW-2150
206,2902508,20-30-32-briens-road-Northmead-NSW-2152
207,4077244,81-athabaska-avenue-Seven-Hills-NSW-2147
208,214305,8-danny-road-Lalor-Park-NSW-2147
