id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,floorplan
222459,3071040,20 Bromfield Avenue,Prospect,2148,NSW,-33.797076,150.924326,house,1031,TRUE
222460,7594818,3 Shaw Place,Prospect,2148,NSW,-33.798356,150.908132,house,600,TRUE
222465,6577719,4/8G Myrtle street,Prospect,2148,NSW,-33.79604,150.90593,unit,,TRUE
222467,11875983,1A Cannon Street,Prospect,2148,NSW,-33.795267,150.920649,house,,TRUE
222473,6270540,302/8C Myrtle Street,Prospect,2148,NSW,-33.796041,150.905935,unit,,TRUE
222474,2771052,50 Witney Street,Prospect,2148,NSW,-33.791294,150.90752,house,,FALSE
222477,1198129,1 Belrose Place,Prospect,2148,NSW,-33.797513,150.925144,house,762,TRUE
222479,11909077,76 Norman Street,Prospect,2148,NSW,-33.798684,150.908264,house,570,TRUE
222481,7288943,35 Heath Street,Prospect,2148,NSW,-33.792726,150.908306,house,,TRUE
222486,4365992,301/8C Myrtle Street,Prospect,2148,NSW,-33.79604,150.90593,unit,,TRUE
222487,5816643,204 8D Myrtle Street,Prospect,2148,NSW,-33.794876,150.91104,unit,,TRUE
222490,5262879,10/1 Myrtle Street,Prospect,2148,NSW,-33.794528,150.905258,unit,,TRUE
222496,3277447,205/8B Myrtle Street,Prospect,2148,NSW,-33.79604,150.90593,unit,,TRUE
222506,3048253,84 Aldgate Street,Prospect,2148,NSW,-33.797684,150.91884,house,607,TRUE
222508,3144991,24 Watch House Road,Prospect,2148,NSW,-33.80691,150.9144,other,4794,FALSE
288666,11778621,203/8A MYRTLE STREET,Prospect,2148,NSW,-33.796041,150.905935,unit,,TRUE
305417,10295745,14 Monash Road,Blacktown,2148,NSW,-33.772273,150.889613,house,607,TRUE
305418,7285773,3 Allen Road,Blacktown,2148,NSW,-33.75495,150.921716,house,588,TRUE
305419,2880217,13/3 Bruce Street,Blacktown,2148,NSW,-33.769464,150.916039,unit,,TRUE
305429,8822429,10/8-10 Fifth Avenue,Blacktown,2148,NSW,-33.763737,150.91194,unit,,FALSE
305431,3356093,19 Kerry Road,Blacktown,2148,NSW,-33.770563,150.888129,house,,TRUE
305432,6357808,25A Tudor Avenue,Blacktown,2148,NSW,-33.783578,150.91863,house,,TRUE
305552,7291564,15 Jones Street,Blacktown,2148,NSW,-33.782657,150.91168,house,575,FALSE
326889,8276658,94 Crudge Road,Marayong,2148,NSW,-33.753765,150.8976,house,695,FALSE
329576,12446668,27 Upwey Street,Prospect,2148,NSW,-33.793498,150.906262,house,737,TRUE
338363,4740921,19 Chester Street,Blacktown,2148,NSW,-33.767355,150.894891,house,,TRUE
338364,7930139,3/7 Boyd Street,Blacktown,2148,NSW,-33.770569,150.91598,unit,77,TRUE
338387,6065105,49 Tallawong Avenue,Blacktown,2148,NSW,-33.780418,150.882527,house,645,TRUE
361230,7107415,37 Stanley Street,Blacktown,2148,NSW,-33.786034,150.909788,house,556,TRUE
385850,10768513,26 West Street,Blacktown,2148,NSW,-33.77988,150.908,house,,FALSE
446435,2421404,4 Gardenset Grove,Blacktown,2148,NSW,-33.793095,150.90002,house,516,FALSE
464282,528541,5 Hillside Road,Blacktown,2148,NSW,-33.778624,150.894018,house,556,TRUE
497572,575667,18a Osborne Road,Marayong,2148,NSW,-33.754638,150.894748,house,563,FALSE
502843,4005067,2 Hadrian Avenue,Blacktown,2148,NSW,-33.787143,150.917824,house,556,TRUE
502920,5774089,7 West Street,Blacktown,2148,NSW,-33.779706,150.909471,house,556,TRUE
502922,4182060,70/31 Third Ave,Blacktown,2148,NSW,-33.764827,150.909346,unit,,TRUE
525786,10928755,49 Crudge Road,Marayong,2148,NSW,-33.75234,150.896176,house,543,TRUE
